"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_type","architecture","batch_size","conv_dropout_p","device","early_stopping_delta","early_stopping_delta_type","early_stopping_patience","epochs","accuracy","test_loss","validation_loss","training_loss","include_second_fc_layer","fc_dropout_p","kernel_sizes","learning_rate","num_reduce_learning_rate","optimizer","out_channels","use_batch_norm","dimensions","input_size","output_size","best_epoch","best_validation_loss","epoch","step_learning_rate","step_training_loss","step_validation_loss","weighted_f1","weighted_precision","weighted_recall"
"hardy-sweep-23","finished","-","shane-kercheval","","2024-01-07T00:06:45.000Z","343","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9931428571428572","0.03316491868879114","0.03437780374897661","0.00003142455112146081","true","0.5","[3,7]","0.001","5","adam","[16,32]","true","","","","6","0.030855913883873393","24","0.00003125","0.0003620658514823357","0.034365810546346305","0.9931448409546207","0.993159020528956","0.9931428571428572"
"cool-sweep-32","finished","-","shane-kercheval","","2024-01-07T01:45:35.000Z","943","vy3v7jae","relu","CNN","64","0.2","cuda","0.05","relative","3","100","0.9905714285714284","0.03375854502831187","0.034839089177814975","0.016537937210157647","true","0.5","[7,7]","0.01","5","sgd","[16,32]","false","","","","31","0.03580477585430656","43","0.0003125","0.028065985060650212","0.034843130830143176","0.9905675057447368","0.9905819145861486","0.9905714285714284"
"ethereal-sweep-10","finished","-","shane-kercheval","","2024-01-06T21:41:36.000Z","481","vy3v7jae","leaky_relu","CNN","32","0","cuda","0.05","relative","3","100","0.9885714285714284","0.03388697254870619","0.04492503818364016","0.016119175538337523","false","0","[3,5]","0.01","5","sgd","[8,16]","true","","","","10","0.045358867929250535","25","0.0003125","0.01624320431036377","0.04507330661905663","0.988573132912782","0.9886010335203924","0.9885714285714284"
"firm-sweep-4","finished","-","shane-kercheval","","2024-01-06T20:00:05.000Z","989","vy3v7jae","relu","CNN","128","0","cuda","0.05","relative","3","100","0.9894285714285714","0.035044528011764796","0.036896988279585326","0.01825709946453571","true","0.5","[3,5]","0.005","5","sgd","[32,64]","true","","","","25","0.03827696910500526","40","0.00015625","0.025063150761915103","0.03696246967571122","0.989428238191538","0.9894454983878826","0.9894285714285714"
"curious-sweep-39","finished","-","shane-kercheval","","2024-01-07T03:10:53.000Z","1590","vy3v7jae","leaky_relu","CNN","64","0","cuda","0.05","relative","3","100","0.9897142857142858","0.035116879269480705","0.03678920031644936","0.016188755308277906","true","0.5","[7,7]","0.01","5","sgd","[16,64]","false","","","","28","0.03748960545765502","37","0.0003125","0.016707312283587867","0.036803347055667214","0.9897084461919924","0.989728947251206","0.9897142857142858"
"olive-sweep-26","finished","-","shane-kercheval","","2024-01-07T00:28:23.000Z","271","vy3v7jae","leaky_relu","CNN","128","0","cuda","0.05","relative","3","100","0.9941428571428572","0.035296721916113584","0.04710009084149247","4.116241433520835e-7","false","0","[5,5]","0.005","5","adam","[32,64]","true","","","","9","0.02867567084736324","27","0.00015625","8.350784419519641e-7","0.04695948753003761","0.9941419894311748","0.9941477242752128","0.9941428571428572"
"lucky-sweep-1","finished","-","shane-kercheval","","2024-01-07T06:09:59.000Z","278","46k9rb1p","relu","convolutional","64","0.2","cuda","0.05","relative","3","100","0.9908571428571428","0.035495886845248084","0.039970631595559615","0.003512174732084012","false","0","[7,7]","0.005","5","adam","[8,16]","false","[28,28]","784","10","9","0.03769551785463201","24","0.00015625","0.015345954876403115","0.03998410072453719","0.990856339340341","0.990870895809292","0.9908571428571428"
"rare-sweep-51","finished","-","shane-kercheval","","2024-01-07T05:23:03.000Z","1178","vy3v7jae","relu","CNN","64","0.1","cuda","0.05","relative","3","100","0.9927142857142855","0.03659911480333124","0.03967162930478877","0.0002478488896199649","true","0","[3,3]","0.005","5","adam","[32,64]","true","","","","9","0.03314442679379136","24","0.00015625","0.0003274978804483908","0.039673632847662114","0.9927121465640908","0.9927234332292576","0.9927142857142855"
"crisp-sweep-1","finished","-","shane-kercheval","","2024-01-06T19:47:46.000Z","264","vy3v7jae","relu","CNN","64","0","cuda","0.05","relative","3","100","0.9932857142857144","0.03767619468271732","0.04496401970387368","0.00007104373135481573","false","0","[7,7]","0.005","5","adam","[8,16]","true","","","","3","0.03467641537955829","21","0.00015625","0.00012191132397423767","0.04527589192442351","0.993283918289948","0.9932910892457728","0.9932857142857144"
"feasible-sweep-4","finished","-","shane-kercheval","","2024-01-07T06:26:04.000Z","211","46k9rb1p","leaky_relu","convolutional","128","0.2","cuda","0.05","relative","3","100","0.989","0.03768304628985269","0.04057026256767235","0.007959097216171877","false","0.5","[3,5]","0.005","5","adam","[8,16]","true","[28,28]","784","10","17","0.04016142862609454","26","0.00015625","0.0343063206278852","0.04052498596321259","0.9889898135168276","0.9890172055738492","0.989"
